VERB,PP_ADJ_Count,Past_Participle,VERB_COUNT,Total_Count
inflate,715304,inflated,1103720,789495330880
pierce,202287,pierced,3885153,785915944911
install,282590,installed,2770626,782951201340
dread,386863,dreaded,2022791,782542994633
utilize,65982,utilized,11846256,781639663392
bond,549239,bonded,1422206,781131001234
outline,81535,outlined,9453222,770768455770
institutionalize,862782,institutionalized,893149,770592880518
tune,277999,tuned,2765076,768688362924
rent,149215,rented,5128235,765209585525
allot,312168,allotted,2430928,758857931904
destroy,22116,destroyed,34148873,755236475268
pollute,573523,polluted,1310529,751618523667
obscure,234112,obscured,3209646,751416644352
persecute,367248,persecuted,2035390,747492906720
land,56282,landed,13275558,747174955356
string,287441,strung,2596670,746389421470
unfold,166233,unfolded,4454452,740476919316
annex,291041,annexed,2520708,733629377028
erode,365328,eroded,2006576,733058396928
reference,363828,referenced,2003716,729007984848
thicken,378216,thickened,1916665,724913369640
blood,888656,blooded,813496,722918101376
industrialize,1568726,industrialized,459962,721554348412
subsidize,641729,subsidized,1117180,716926804220
punch,375817,punched,1863444,700313933748
blast,528175,blasted,1325039,699852473825
cause,7871,caused,88774118,698741082778
save,16165,saved,43114711,696949303315
purport,370823,purported,1873937,694898940151
overwhelm,181094,overwhelmed,3817133,691259883502
weather,470782,weathered,1465063,689725289266
wheel,544399,wheeled,1264642,688469840158
idealize,954842,idealized,720840,688288307280
enable,20290,enabled,33874997,687323689130
feed,38838,feed,17581221,682819461198
exhibit,35007,exhibited,19405004,679310975028
excavate,359436,excavated,1885666,677776244376
preoccupy,429722,preoccupied,1570399,674834999078
embroider,655508,embroidered,1020809,669148465972
pace,303709,paced,2180635,662278475215
sow,150735,sown,4381111,660386766585
index,436183,indexed,1500166,654346906378
discount,283421,discounted,2296862,650978924902
saw,8194,seen,79307060,649842049640
describe,5792,described,112187838,649791957696
wither,561326,withered,1156990,649448568740
trace,42417,traced,15223304,645726885768
circumscribe,688891,circumscribed,936492,645140910372
flush,232695,flushed,2763599,643075669305
encode,260359,encoded,2437570,634643287630
prejudice,442458,prejudiced,1434041,634502912778
claim,16428,claimed,38620711,634461040308
esteem,230308,esteemed,2745050,632206975400
modulate,442171,modulated,1428683,631722190793
corrupt,374629,corrupted,1670360,625765296440
postulate,239869,postulated,2601814,624094522366
chill,475574,chilled,1302088,619239198512
dissatisfy,356166,dissatisfied,1734490,617766365340
mature,162322,matured,3795542,616099968524
dye,378809,dyed,1626262,616042681958
recover,32822,recovered,18746769,615306452118
wire,424611,wired,1445812,613907679132
track,150944,tracked,4066031,613742983264
deceive,113577,deceived,5392085,612416838045
seem,2954,seemed,207189791,612038642614
undergo,48023,undergone,12739136,611771528128
foot,635507,footed,959856,609995206992
strand,657456,stranded,925412,608417671872
assess,35675,assessed,17053021,608366524175
veil,606061,veiled,999601,605819181661
hook,325098,hooked,1861390,605134166220
answer,13324,answered,45164721,601774742604
debate,169728,debated,3537615,600432318720
demonstrate,17205,demonstrated,34835785,599349680925
interrelate,849662,interrelated,705231,599207981922
slay,180035,slain,3325258,598662824030
represent,6428,represented,92942593,597434987804
warrant,125064,warranted,4771227,596708733528
amend,65173,amended,9120794,594429507362
nest,508980,nested,1160542,590692667160
unload,279328,unloaded,2113428,590339616384
nourish,271996,nourished,2160900,587756156400
cripple,362750,crippled,1614628,585706307000
obstruct,254539,obstructed,2298691,585106508449
tread,220714,trodden,2650477,584997380578
cluster,315951,clustered,1848853,584146954203
terrify,198288,terrified,2944713,583901251344
prohibit,59362,prohibited,9829237,583483166794
alienate,204231,alienated,2834466,578885825646
confine,37833,confined,15298605,578792122965
dilate,318988,dilated,1804002,575454989976
manifest,56262,manifested,10223414,575189718468
season,649928,seasoned,882119,573313837432
conduct,17910,conducted,31975595,572682906450
harvest,191982,harvested,2979212,571955078184
formulate,64760,formulated,8813813,570782529880
perfect,253986,perfected,2245137,570233366082
irritate,237753,irritated,2386892,567490733676
contrive,193785,contrived,2918152,565494085320
shave,227971,shaven,2479769,565315418699
mount,39423,mounted,14331198,564978818754
choke,186889,choked,3013526,563194860614
style,323291,styled,1739706,562431292446
sacrifice,76696,sacrificed,7326905,561944305880
lament,202678,lamented,2754728,558322761584
fracture,733709,fractured,755585,554379514765
plot,100530,plotted,5467421,549639833130
perforate,648937,perforated,844844,548250530828
touch,20757,touched,26335099,546637649943
pile,161908,piled,3339191,540641736428
fancy,165243,fancied,3267950,540005861850
fragment,1485745,fragmented,363094,539465095030
wreck,302988,wrecked,1771606,536775358728
transfer,27702,transferred,19300611,534665525922
focus,18136,focussed,29457049,534233040664
wrinkle,697112,wrinkled,765558,533679668496
retrieve,118370,retrieved,4473619,529542281030
deplete,365785,depleted,1447317,529406848845
hatch,268678,hatched,1968814,528977007892
oxidize,337351,oxidized,1560698,526503030998
group,83522,grouped,6287185,525118265570
teach,9401,taught,55248339,519389634939
lessen,127464,lessened,4073114,519175402896
map,166634,mapped,3114560,518991591040
accord,5530,accorded,93814189,518792465170
trigger,117764,triggered,4404153,518650673892
underline,217855,underlined,2366492,515552114660
perplex,507634,perplexed,1014735,515113986990
subdivide,273928,subdivided,1877666,514345292048
descend,40634,descended,12637221,513500838114
avoid,11193,avoided,45835602,513037893186
mould,215058,moulded,2381766,512217832428
substitute,48879,substituted,10418850,509262969150
ordain,138076,ordained,3682924,508523414224
trust,32358,trusted,15701359,508064574522
swear,58440,sworn,8661730,506191501200
adapt,30677,adapted,16467618,505177117386
look,2371,looked,212049473,502769300483
stun,307115,stunned,1635447,502270305405
transplant,349221,transplanted,1435265,501224678565
lengthen,303514,lengthened,1646957,499874506898
smash,223318,smashed,2236224,499389071232
mat,255575,matted,1935635,494699915125
taper,367803,tapered,1336863,491702221989
pool,505522,pooled,963866,487255468052
attest,173354,attested,2799259,485262744686
superimpose,313671,superimposed,1544161,484358525031
clarify,81271,clarified,5942176,482926585696
revere,403070,revered,1195608,481913716560
number,79610,numbed,6033122,480296842420
sanction,153589,sanctioned,3115663,478531564507
randomize,1248264,randomized,380712,475229083968
rend,587219,rent,806663,473687840197
digest,229076,digested,2057913,471418478388
predetermine,1298956,predetermined,362790,471248247240
tilt,208107,tilted,2258376,469983854232
repute,549681,reputed,854757,469843682517
serve,5546,served,84379628,467969416888
condemn,39245,condemned,11893334,466753892830
angle,423967,angled,1099723,466246261141
abbreviate,1022527,abbreviated,455340,465597444180
mirror,231176,mirrored,1999174,462161048624
grate,592900,grated,775972,460073798800
broaden,166067,broadened,2751975,457012232325
scare,546086,scared,836428,456761620808
show,1749,shown,259750738,454304040762
assimilate,157495,assimilated,2882926,454046430370
powder,1421146,powdered,317791,451627408486
pulse,578791,pulsed,779853,451371897723
hat,67525,hatted,6656138,449455718450
charter,515445,chartered,870579,448735592655
attenuate,699767,attenuated,640350,448095798450
optimize,238367,optimized,1866046,444803786882
inhale,313577,inhaled,1407323,441304124371
exile,389780,exiled,1130766,440749971480
clench,440210,clenched,1000843,440581097030
accredit,785217,accredited,561094,440580547398
stimulate,35831,stimulated,12144768,435159182208
annotate,813829,annotated,534687,435143786523
dilute,150875,diluted,2880509,434596795375
burst,55154,burst,7878046,434505749084
recycle,388423,recycled,1116517,433680882691
research,185096,researched,2340490,433215337040
tangle,1062708,tangled,405399,430820760492
administer,31473,administered,13598752,427993521696
cap,371533,capped,1147514,426339318962
adsorb,484378,adsorbed,879414,425968794492
pound,147242,pounded,2890922,425665137124
elapse,156780,elapsed,2713812,425471445360
evaporate,170648,evaporated,2489546,424836045808
restore,22165,restored,19123184,423865373360
decompose,171976,decomposed,2463043,423584282968
infest,412090,infested,1027100,423257639000
rate,433391,rated,976097,423031654927
arrive,8832,arrived,47839573,422519108736
outrage,517665,outraged,814472,421623647880
lower,34159,lowered,12336576,421405099584
admit,11272,admitted,37346420,420968846240
enslave,323734,enslaved,1295793,419492251062
grieve,170366,grieved,2459146,418954867436
promote,15573,promoted,26762254,416768581542
beget,253006,begotten,1647157,416740603942
arrange,17216,arranged,24167807,416072965312
move,3720,moved,111802265,415904425800
layer,738362,layered,562564,415375880168
part,66852,parted,6171050,412547034600
reclaim,236772,reclaimed,1736852,411237921744
individualize,874935,individualized,469851,411089084685
glaze,326795,glazed,1251892,409112046140
abstract,226917,abstracted,1792713,406797055821
clip,276413,clipped,1465485,405079105305
protract,1726633,protracted,234064,404142626512
submit,19823,submitted,20377469,403942567987
stratify,1029428,stratified,390324,401810454672
secrete,170460,secreted,2349338,400468155480
stagger,184304,staggered,2172451,400391409104
nurture,214914,nurtured,1861210,400000085940
perform,6877,performed,58044201,399169970277
disadvantage,1334601,disadvantaged,297843,397501565643
preach,32480,preached,12084703,392511153440
despise,90681,despised,4312697,391079676657
cramp,508566,cramped,767822,390488163252
enchant,592121,enchanted,658823,390102933583
seed,213285,seeded,1825946,389446892610
sharpen,192309,sharpened,2025047,389434763523
peak,338518,peaked,1147238,388360713284
aggregate,350058,aggregated,1108952,388197519216
update,78519,updated,4941763,388022288997
decentralize,1015115,decentralized,381745,387515075675
identify,7434,identified,52046112,386910796608
disconnect,307517,disconnected,1250397,384518334249
toss,76881,tossed,5001313,384505944753
accrue,120840,accrued,3178686,384112416240
grain,1332929,grained,287406,383091792174
cite,17874,cited,21392178,382363789572
stock,232818,stocked,1626057,378575338626
shoulder,442883,shouldered,853964,378206138212
border,128946,bordered,2911716,375454131336
pervert,371961,perverted,1007462,374736572982
vex,394570,vexed,949460,374628432200
sophisticate,6426983,sophisticated,58225,374211085175
mutilate,537707,mutilated,691507,371828154449
radiate,150737,radiated,2463360,371319496320
melt,52212,molten,7055683,368391320796
covet,368235,coveted,996921,367101204435
place,4416,placed,82669876,365070172416
release,18068,released,20099416,363156248288
picture,92587,pictured,3918927,362841694149
intoxicate,290025,intoxicated,1249713,362448012825
ascribe,60441,ascribed,5935009,358717878969
advocate,46036,advocated,7771573,357772134628
subordinate,205032,subordinated,1744258,357628706256
irradiate,466862,irradiated,758191,353970566642
rout,177528,routed,1993339,353873485992
confound,121682,confounded,2907439,353782992398
reprint,42230,reprinted,8370908,353503444840
resolve,16832,resolved,20597141,346691077312
coil,410459,coiled,843221,346107648439
socialize,350188,socialized,985043,344950238084
log,116598,logged,2954800,344523770400
cloud,281748,clouded,1221958,344284222584
verify,54051,verified,6369071,344254656621
compile,59596,compiled,5769460,343836738160
compromise,79599,compromised,4267288,339671857512
arise,7348,arisen,45797342,336518869016
dissipate,161067,dissipated,2088948,336460587516
supplement,58103,supplemented,5771074,335316712622
smoke,43835,smoked,7636116,334729144860
offset,69865,offset,4776828,333733088220
subscribe,88713,subscribed,3761727,333714087351
rise,5285,risen,63141083,333700623655
effect,26814,effected,12438577,333528003678
wed,198810,wedded,1674984,333003569040
amplify,160714,amplified,2067214,332230230796
scent,641106,scented,516742,331286396652
harass,196703,harassed,1681646,330784813138
unsettle,1203975,unsettled,271992,327471568200
fabricate,210492,fabricated,1552422,326772411624
open,5017,opened,65014667,326178584339
kill,6774,killed,47638232,322701383568
reset,509013,reset,631537,321460542981
discredit,181607,discredited,1768286,321133115602
communicate,19612,communicated,16364812,320946692944
torment,221325,tormented,1446441,320133554325
join,6888,joined,46376311,319440030168
rule,16991,ruled,18769785,318917416935
band,292645,banded,1084149,317270784105
stifle,188394,stifled,1681756,316832739864
spoil,86686,spoilt,3648203,316248125258
anchor,102010,anchored,3097588,315984951880
happen,4439,happened,71116848,315687688272
prize,317776,prized,988223,314033552048
strew,232592,strewn,1349657,313919420944
present,3699,presented,84832450,313795232550
